iter	MultiClass
0	1.073521077
1	1.050209004
2	1.030169459
3	1.011447082
4	0.9928937076
5	0.978161918
6	0.9633569241
7	0.9490266386
8	0.9365645943
9	0.9240939835
10	0.9132384655
11	0.9025694854
12	0.8924925932
13	0.8847307044
14	0.8762097659
15	0.8683266505
16	0.8604672689
17	0.8528776061
18	0.8462018967
19	0.8399842611
20	0.8331217106
21	0.8266710415
22	0.8213941717
23	0.8157077394
24	0.8114818883
25	0.8070608901
26	0.8014284074
27	0.7964540159
28	0.7926116661
29	0.7887354759
30	0.7852349516
31	0.7823830205
32	0.7782518324
33	0.7741779616
34	0.7708458855
35	0.7677401004
36	0.7642790983
37	0.7614564406
38	0.7590003868
39	0.7557738553
40	0.7528282107
41	0.7498835653
42	0.7479388483
43	0.745048864
44	0.7425584163
45	0.7406534147
46	0.7380878249
47	0.735864119
48	0.7339505531
49	0.7315635379
50	0.7293759406
51	0.7273725292
52	0.7251950097
53	0.7239870257
54	0.7230000845
55	0.7208737741
56	0.7192757857
57	0.717468824
58	0.7158127158
59	0.714128937
60	0.7122433995
61	0.710554302
62	0.7089316922
63	0.7080495486
64	0.7065367823
65	0.7052434655
66	0.7039647673
67	0.7026586977
68	0.701771672
69	0.7002156231
70	0.6992773394
71	0.6976735219
72	0.6963716696
73	0.6947615103
74	0.693908753
75	0.6929257316
76	0.6918481726
77	0.6910080895
78	0.6897294136
79	0.6886448412
80	0.6875135773
81	0.6864511911
82	0.6854872525
83	0.6847852912
84	0.6839217886
85	0.6831187013
86	0.6821027056
87	0.6813469389
88	0.680802678
89	0.6799281302
90	0.6789761326
91	0.6781599525
92	0.6772651485
93	0.6766831244
94	0.6757705169
95	0.6749440728
96	0.6740887359
97	0.6732726629
98	0.6726954743
99	0.6719223021
100	0.6711322714
101	0.6703992162
102	0.6695947686
103	0.6688325589
104	0.6680343205
105	0.6674110054
106	0.6667591218
107	0.6662731191
108	0.6655801988
109	0.6647563086
110	0.6642673747
111	0.6637813733
112	0.6628769085
113	0.6622061378
114	0.6616864234
115	0.6611999431
116	0.6607251843
117	0.6602941391
118	0.659669234
119	0.6591050245
120	0.6583918831
121	0.6580610766
122	0.6574555878
123	0.6568518342
124	0.6563025903
125	0.65581931
126	0.6554755267
127	0.6548765553
128	0.6540824204
129	0.6533751871
130	0.6528045924
131	0.6523312846
132	0.6519406546
133	0.6515319698
134	0.6509493482
135	0.6504276275
136	0.6498842448
137	0.6489280589
