iter	Passed	Remaining
0	9	7443
1	17	6829
2	25	6660
3	32	6469
4	40	6422
5	47	6224
6	53	6085
7	61	6062
8	69	6071
9	77	6095
10	86	6178
11	92	6102
12	100	6078
13	107	6028
14	115	6029
15	122	5979
16	129	5965
17	137	5965
18	144	5935
19	152	5941
20	159	5918
21	167	5929
22	174	5898
23	182	5910
24	190	5906
25	198	5913
26	205	5874
27	212	5861
28	219	5824
29	226	5806
30	233	5789
31	240	5767
32	247	5754
33	281	6339
34	289	6319
35	299	6348
36	305	6306
37	313	6281
38	320	6246
39	327	6223
40	335	6203
41	341	6168
42	349	6145
43	356	6120
44	363	6103
45	370	6070
46	377	6050
47	384	6022
48	392	6009
49	400	6000
50	406	5976
51	414	5956
52	421	5936
53	430	5946
54	437	5932
55	445	5920
56	453	5908
57	459	5882
58	467	5875
59	475	5864
60	483	5852
61	490	5835
62	496	5813
63	504	5796
64	510	5772
65	518	5761
66	524	5743
67	532	5733
68	539	5711
69	546	5699
70	554	5691
71	561	5673
72	568	5660
73	575	5650
74	584	5649
75	591	5630
76	598	5623
77	606	5611
78	613	5598
79	620	5580
80	626	5561
81	633	5549
82	640	5533
83	648	5523
84	654	5508
85	661	5495
86	669	5485
87	676	5472
88	684	5467
89	691	5453
90	699	5453
91	706	5438
92	713	5425
93	720	5410
94	727	5401
95	734	5386
96	741	5371
97	748	5364
98	756	5359
99	764	5351
100	771	5336
101	778	5329
102	785	5317
103	792	5304
104	799	5291
105	806	5277
106	813	5269
107	820	5258
108	828	5250
109	835	5239
110	843	5233
111	849	5219
112	856	5206
113	863	5195
114	870	5183
115	878	5179
116	885	5168
117	892	5159
118	900	5150
119	907	5141
120	914	5132
121	921	5121
122	928	5112
123	935	5102
124	944	5100
125	953	5099
126	962	5099
127	969	5088
128	976	5080
129	1022	5269
130	1046	5345
131	1055	5342
132	1073	5384
133	1080	5370
134	1089	5365
135	1096	5353
136	1104	5343
137	1110	5329
138	1117	5314
139	1124	5302
140	1131	5287
141	1138	5277
142	1146	5265
143	1154	5257
144	1161	5244
145	1168	5233
146	1175	5221
147	1182	5210
148	1190	5201
149	1197	5188
150	1204	5178
151	1211	5166
152	1219	5156
153	1226	5146
154	1234	5135
155	1241	5124
156	1248	5113
157	1256	5104
158	1263	5093
159	1270	5083
160	1278	5072
161	1285	5062
162	1293	5054
163	1300	5044
164	1308	5034
165	1315	5024
166	1322	5013
167	1329	5000
168	1336	4991
169	1343	4980
170	1351	4972
171	1359	4962
172	1366	4953
173	1374	4945
174	1382	4936
175	1389	4925
176	1396	4916
177	1404	4908
178	1411	4897
179	1419	4888
180	1426	4877
181	1434	4870
182	1441	4860
183	1449	4851
184	1455	4839
185	1463	4831
186	1471	4822
187	1479	4814
188	1486	4804
189	1493	4793
190	1500	4785
191	1507	4773
192	1514	4764
193	1521	4753
194	1529	4745
195	1536	4734
196	1543	4724
197	1550	4714
198	1557	4704
199	1565	4695
200	1572	4686
201	1580	4677
202	1586	4666
203	1594	4659
204	1602	4650
205	1609	4641
206	1616	4631
207	1623	4622
208	1631	4612
209	1638	4603
210	1645	4594
211	1652	4583
212	1660	4575
213	1667	4565
214	1675	4558
215	1682	4549
216	1690	4541
217	1697	4531
218	1704	4522
219	1712	4513
220	1719	4503
221	1726	4494
222	1732	4483
223	1739	4473
224	1755	4487
225	1769	4494
226	1780	4494
227	1790	4491
228	1798	4485
229	1806	4476
230	1813	4467
231	1820	4456
232	1827	4446
233	1834	4437
234	1842	4428
235	1849	4420
236	1857	4411
237	1865	4404
238	1872	4395
239	1879	4386
240	1887	4377
241	1894	4368
242	1902	4360
243	1909	4350
244	1917	4343
245	1924	4333
246	1931	4324
247	1938	4314
248	1945	4304
249	1952	4295
250	1959	4286
251	1966	4276
252	1973	4266
253	1981	4258
254	1988	4249
255	1995	4241
256	2002	4231
257	2010	4223
258	2017	4214
259	2024	4204
260	2031	4195
261	2038	4185
262	2045	4177
263	2052	4167
264	2059	4158
265	2067	4149
266	2074	4141
267	2081	4132
268	2088	4122
